N1_contact TotalCurrent(n1_sweep_n295_des) X,N1_contact TotalCurrent(n1_sweep_n295_des) Y
0,-6.49E-19
-0.0001,-7.51E-15
-0.0002292,-1.72E-14
-0.00039716,-2.93E-14
-0.000615508,-4.60E-14
-0.00089936,-6.61E-14
-0.001268369,-9.48E-14
-0.001748079,-1.27E-13
-0.002371703,-1.78E-13
-0.003177425,-2.38E-13
-0.004218417,-3.16E-13
-0.00556338,-4.17E-13
-0.007301071,-5.48E-13
-0.009546169,-7.19E-13
-0.012428874,-9.39E-13
-0.016130267,-1.23E-12
-0.020882856,-1.60E-12
-0.026985181,-2.11E-12
-0.034820565,-2.80E-12
-0.044881199,-3.78E-12
-0.057799053,-5.25E-12
-0.074385577,-7.62E-12
-0.095682674,-1.18E-11
-0.12302815,-2.02E-11
-0.15813973,-3.94E-11
-0.20322301,-9.19E-11
-0.26110994,-2.69E-10
-0.33543675,-1.05E-09
-0.43087239,-5.75E-09
-0.55341174,-4.67E-08
-0.71075226,-5.25E-07
-0.9127775,-5.22E-06
-1.1705617,-2.65E-05
-1.4994943,-7.73E-05
-1.9192124,-0.000169534
-2.4192124,-0.000308962
-2.9192124,-0.000473995
-3.4192124,-0.00066013
-3.9192124,-0.000864113
-4.4192124,-0.001083455
-4.9192124,-0.001316174
-5.4192124,-0.001560645
-5.9192124,-0.001815507
-6.4192124,-0.002079589
-6.9192124,-0.002351869
-7.4192124,-0.002631437
-7.9192124,-0.002917471
-8.4192124,-0.003209221
-8.9192124,-0.003505994
-9.4192124,-0.003807152
-9.9192124,-0.004112111
-10,-0.004161705
-10,-0.004161705
-9.9998,-0.004161582
-9.99954,-0.004161422
-9.999202,-0.004161215
-9.9987626,-0.004160945
-9.9981914,-0.004160594
-9.9974488,-0.004160137
-9.9964834,-0.004159544
-9.9952285,-0.004158773
-9.993597,-0.004157771
-9.9914761,-0.004156468
-9.9887189,-0.004154775
-9.9851346,-0.004152573
-9.980475,-0.004149711
-9.9744175,-0.004145991
-9.9665427,-0.004141156
-9.9563056,-0.004134871
-9.9429972,-0.004126703
-9.9256964,-0.004116088
-9.9032053,-0.004102295
-9.8739669,-0.004084373
-9.835957,-0.004061092
-9.7865441,-0.004030855
-9.7227026,-0.003991838
-9.6402194,-0.003941512
-9.5336511,-0.003876635
-9.3959649,-0.003793061
-9.2180743,-0.003685515
-8.9882397,-0.003547323
-8.6912934,-0.003370132
-8.3076387,-0.003143659
-7.8119568,-0.002855607
-7.1715359,-0.002492094
-6.344112,-0.002039377
-5.344112,-0.001523231
-5,-0.001354917
-4,-0.00089857
-3,-0.000502738
-2,-0.000190083
-1,-1.03E-05
0,-6.49E-19
1,1.05E-05
2,0.000191042
3,0.000504325
4,0.000900711
5,0.001357553
6,0.001860663
7,0.002400055
8,0.002968091
9,0.003558543
10,0.004166157
