Tmax(n49_TLPn49_des) X,Tmax(n49_TLPn49_des) Y,Tmax(n50_TLPn50_des) X,Tmax(n50_TLPn50_des) Y,Tmax(n51_TLPn51_des) X,Tmax(n51_TLPn51_des) Y,Tmax(n52_TLPn52_des) X,Tmax(n52_TLPn52_des) Y,Tmax(n53_TLPn53_des) X,Tmax(n53_TLPn53_des) Y,Tmax(n54_TLPn54_des) X,Tmax(n54_TLPn54_des) Y,Tmax(n296_TLPn296_des) X,Tmax(n296_TLPn296_des) Y,Tmax(n309_TLPn309_des) X,Tmax(n309_TLPn309_des) Y,Tmax(n322_TLPn322_des) X,Tmax(n322_TLPn322_des) Y,Tmax(n335_TLPn335_des) X,Tmax(n335_TLPn335_des) Y,Tmax(n348_TLPn348_des) X,Tmax(n348_TLPn348_des) Y,Tmax(n361_TLPn361_des) X,Tmax(n361_TLPn361_des) Y,Tmax(n374_TLPn374_des) X,Tmax(n374_TLPn374_des) Y,Tmax(n387_TLPn387_des) X,Tmax(n387_TLPn387_des) Y,Tmax(n400_TLPn400_des) X,Tmax(n400_TLPn400_des) Y,Tmax(n413_TLPn413_des) X,Tmax(n413_TLPn413_des) Y,Tmax(n426_TLPn426_des) X,Tmax(n426_TLPn426_des) Y,Tmax(n439_TLPn439_des) X,Tmax(n439_TLPn439_des) Y,Tmax(n452_TLPn452_des) X,Tmax(n452_TLPn452_des) Y,Tmax(n465_TLPn465_des) X,Tmax(n465_TLPn465_des) Y,Tmax(n478_TLPn478_des) X,Tmax(n478_TLPn478_des) Y,Tmax(n491_TLPn491_des) X,Tmax(n491_TLPn491_des) Y,Tmax(n606_TLPn606_des) X,Tmax(n606_TLPn606_des) Y,Tmax(n608_TLPn608_des) X,Tmax(n608_TLPn608_des) Y,Tmax(n610_TLPn610_des) X,Tmax(n610_TLPn610_des) Y,Tmax(n612_TLPn612_des) X,Tmax(n612_TLPn612_des) Y,Tmax(n614_TLPn614_des) X,Tmax(n614_TLPn614_des) Y,Tmax(n616_TLPn616_des) X,Tmax(n616_TLPn616_des) Y,Tmax(n618_TLPn618_des) X,Tmax(n618_TLPn618_des) Y
-0.00051664,300,-2.10E-05,300,0.004439176,300,0.049004077,300.00003,0.068786608,300.00005,0.088552363,300.00006,-0.000511684,300,-0.000467078,300,0.009394212,300.00001,0.01434845,300.00001,0.019301868,300.00001,0.024254449,300.00002,0.029206171,300.00002,0.034157016,300.00002,0.039106962,300.00003,0.044055989,300.00003,0.053951205,300.00004,0.05889735,300.00004,0.063842492,300.00005,0.073729675,300.00005,0.078671673,300.00006,0.083612576,300.00006,0.093491009,300.00007,0.098428489,300.00007,0.10336478,300.00007,0.10829986,300.00008,0.11323369,300.00008,0.11816626,300.00008,0.12309753,300.00009
-0.000516547,300,0.001287335,300,0.01751758,300.00001,0.17919942,300.00008,0.25052575,300.00011,0.32127177,300.00013,-0.000498508,300,-0.000336154,300,0.035540684,300.00002,0.053551797,300.00003,0.071549899,300.00003,0.089533917,300.00004,0.10750271,300.00005,0.12545506,300.00006,0.14338963,300.00007,0.16130496,300.00007,0.19707115,300.00009,0.21491795,300.00009,0.23273722,300.0001,0.26827952,300.00011,0.28599335,300.00012,0.30366045,300.00013,0.33881514,300.00014,0.13689753,300.00009,0.14374456,300.00009,0.15058885,300.0001,0.15743031,300.0001,0.16426887,300.00011,0.17110444,300.00011
-0.000516543,300,0.003884592,300,0.043465513,300.00002,0.43086534,300.00012,0.55948296,300.00054,0.62141719,300.00174,-0.000472528,300,-7.64E-05,300,0.0873733,300.00003,0.13119078,300.00004,0.17489864,300.00005,0.21847133,300.00006,0.26187033,300.00007,0.30502832,300.00008,0.34781274,300.00009,0.38994692,300.0001,0.46954257,300.00016,0.50454633,300.00023,0.53463396,300.00036,0.57968495,300.00077,0.59618605,300.00106,0.6098679,300.00139,0.631336,300.00213,0.19567373,300.00011,0.20542568,300.00012,0.2151704,300.00012,0.22490754,300.00013,0.23463679,300.00013,0.24435776,300.00014
-0.000516538,300,0.008480259,300,0.089318368,300.00002,0.63553372,300.00254,0.67490133,300.0059,0.6944249,300.00933,-0.000426557,300,0.000383257,300,0.17876685,300.00003,0.26761042,300.00005,0.35523121,300.00005,0.43904307,300.00008,0.51075867,300.00021,0.56169342,300.00055,0.59521507,300.0011,0.61839743,300.00178,0.64880661,300.00335,0.65936194,300.00419,0.66789012,300.00505,0.68080113,300.00676,0.68589217,300.00761,0.69038557,300.00847,0.69810863,300.01019,0.28404804,300.00014,0.29811168,300.00015,0.3121498,300.00015,0.32615968,300.00016,0.34013798,300.00016,0.35408061,300.00017
-0.000516532,300,0.01612372,300,0.16536135,300.00002,0.6822091,300.00894,0.70249371,300.01478,0.71689021,300.02068,-0.000350085,300,0.001147893,300,0.3290412,300.00003,0.47911722,300.0001,0.57125542,300.0007,0.61543772,300.00185,0.64038281,300.0032,0.65601077,300.00462,0.66688298,300.00605,0.67527496,300.00749,0.68817675,300.01039,0.69344527,300.01186,0.69817974,300.01332,0.7064693,300.01625,0.71016638,300.01772,0.71362897,300.0192,0.71997578,300.02217,0.41417815,300.00017,0.43408557,300.00018,0.45372841,300.00019,0.47301968,300.0002,0.49184774,300.00022,0.51007735,300.00025
-0.000516525,300,0.028358537,300,0.28612674,300.00001,0.70055693,300.0182,0.71936354,300.02782,0.7336385,300.03761,-0.000227639,300,0.002372213,300,0.52746988,300.00027,0.61327824,300.002,0.64394187,300.00422,0.6602197,300.00651,0.67161513,300.00882,0.68059034,300.01114,0.68812604,300.01347,0.69469687,300.01583,0.70586177,300.02059,0.71071675,300.02299,0.71519812,300.0254,0.72325789,300.03026,0.7269168,300.0327,0.73036911,300.03515,0.73674471,300.04009,0.57754655,300.00051,0.59509058,300.00068,0.61028583,300.00089,0.62341496,300.00114,0.63477794,300.00143,0.64464673,300.00173
-0.000516516,300,0.047444039,300,0.46077312,300.00003,0.71540824,300.03195,0.73441994,300.04743,0.74896778,300.0632,-3.65E-05,300,0.004283068,300,0.61644864,300.00255,0.64816777,300.00605,0.66504907,300.00961,0.67734543,300.01324,0.68728845,300.01691,0.6957078,300.02061,0.70303905,300.02436,0.7095473,300.02814,0.72074552,300.03579,0.72564994,300.03965,0.73019026,300.04353,0.73838132,300.05135,0.74210857,300.05528,0.74562966,300.05923,0.75214238,300.06718,0.66785056,300.00315,0.67447453,300.00366,0.68010541,300.00418,0.68496454,300.0047,0.68922044,300.00522,0.69299908,300.00575
-0.000516506,300,0.076671316,300,0.58037241,300.00122,0.72927706,300.05257,0.74864673,300.07693,0.76352785,300.10174,0.000256426,300,0.007211964,300,0.64105862,300.00642,0.66342076,300.01187,0.67885841,300.01744,0.69089996,300.02313,0.70083242,300.0289,0.7093119,300.03474,0.71672607,300.04063,0.72332435,300.04658,0.73470581,300.05861,0.73970057,300.06469,0.74432978,300.07079,0.75269377,300.08309,0.75650508,300.08928,0.76010868,300.0955,0.7667821,300.10801,0.69633129,300.00755,0.69964434,300.00825,0.7026835,300.00896,0.70550251,300.00966,0.70814101,300.01036,0.71062848,300.01106
-0.000516494,300,0.12080613,299.99999,0.61551894,300.00394,0.74258874,300.08344,0.76237182,300.12111,0.77762792,300.1595,0.000699568,300,0.011641992,300,0.65452108,300.01202,0.67602775,300.02043,0.69147825,300.02907,0.70362693,300.03787,0.71367989,300.04681,0.72228014,300.05584,0.72981228,300.06496,0.73652504,300.07417,0.74812519,300.09278,0.75322459,300.10218,0.75795563,300.11162,0.76651572,300.13065,0.77042171,300.14022,0.77411797,300.14984,0.78097121,300.16919,0.71002124,300.0132,0.71282093,300.01416,0.71548267,300.01512,0.71802265,300.01608,0.72045388,300.01704,0.722787,300.01801
-0.000516479,300,0.18667355,299.99998,0.63001216,300.00791,0.75555876,300.12946,0.77580468,300.187,0.79147784,300.24565,0.001363232,300,0.018275474,300,0.66639966,300.02027,0.68799982,300.03316,0.70360822,300.04638,0.71591332,300.05984,0.72611571,300.07349,0.73485833,300.0873,0.74252646,300.10124,0.74936961,300.11529,0.76121632,300.14372,0.76643296,300.15807,0.77127779,300.1725,0.78005646,300.20157,0.78406778,300.2162,0.78786704,300.23089,0.79492,300.26046,0.72147375,300.0208,0.72424229,300.02215,0.7268897,300.02349,0.72942702,300.02484,0.73186378,300.02619,0.73420827,300.02755
