Tmax(n8_TLPn8_des) X,Tmax(n8_TLPn8_des) Y,Tmax(n10_TLPn10_des) X,Tmax(n10_TLPn10_des) Y,Tmax(n11_TLPn11_des) X,Tmax(n11_TLPn11_des) Y,Tmax(n12_TLPn12_des) X,Tmax(n12_TLPn12_des) Y,Tmax(n13_TLPn13_des) X,Tmax(n13_TLPn13_des) Y,Tmax(n14_TLPn14_des) X,Tmax(n14_TLPn14_des) Y,Tmax(n15_TLPn15_des) X,Tmax(n15_TLPn15_des) Y,Tmax(n16_TLPn16_des) X,Tmax(n16_TLPn16_des) Y,Tmax(n17_TLPn17_des) X,Tmax(n17_TLPn17_des) Y,Tmax(n294_TLPn294_des) X,Tmax(n294_TLPn294_des) Y,Tmax(n307_TLPn307_des) X,Tmax(n307_TLPn307_des) Y,Tmax(n320_TLPn320_des) X,Tmax(n320_TLPn320_des) Y,Tmax(n333_TLPn333_des) X,Tmax(n333_TLPn333_des) Y,Tmax(n346_TLPn346_des) X,Tmax(n346_TLPn346_des) Y,Tmax(n359_TLPn359_des) X,Tmax(n359_TLPn359_des) Y,Tmax(n372_TLPn372_des) X,Tmax(n372_TLPn372_des) Y,Tmax(n385_TLPn385_des) X,Tmax(n385_TLPn385_des) Y,Tmax(n398_TLPn398_des) X,Tmax(n398_TLPn398_des) Y,Tmax(n411_TLPn411_des) X,Tmax(n411_TLPn411_des) Y,Tmax(n424_TLPn424_des) X,Tmax(n424_TLPn424_des) Y,Tmax(n437_TLPn437_des) X,Tmax(n437_TLPn437_des) Y,Tmax(n450_TLPn450_des) X,Tmax(n450_TLPn450_des) Y,Tmax(n463_TLPn463_des) X,Tmax(n463_TLPn463_des) Y,Tmax(n476_TLPn476_des) X,Tmax(n476_TLPn476_des) Y,Tmax(n489_TLPn489_des) X,Tmax(n489_TLPn489_des) Y,Tmax(n502_TLPn502_des) X,Tmax(n502_TLPn502_des) Y,Tmax(n515_TLPn515_des) X,Tmax(n515_TLPn515_des) Y,Tmax(n528_TLPn528_des) X,Tmax(n528_TLPn528_des) Y,Tmax(n541_TLPn541_des) X,Tmax(n541_TLPn541_des) Y,Tmax(n554_TLPn554_des) X,Tmax(n554_TLPn554_des) Y,Tmax(n567_TLPn567_des) X,Tmax(n567_TLPn567_des) Y,Tmax(n580_TLPn580_des) X,Tmax(n580_TLPn580_des) Y
-0.003346716,300.00001,-0.002758359,300.00001,0.002536187,300,0.055411053,300.00003,0.078866045,300.00005,0.10229035,300.00006,0.11399026,300.00007,0.13736407,300.00008,0.16070093,300.00009,-0.003340832,300.00001,-0.003287879,300.00001,0.008417586,300.00001,0.014297452,300.00001,0.020175755,300.00001,0.026052465,300.00002,0.031927553,300.00002,0.037800987,300.00002,0.043672736,300.00003,0.049542769,300.00003,0.061277556,300.00004,0.067142245,300.00004,0.073005086,300.00004,0.084725086,300.00005,0.090582174,300.00005,0.096437273,300.00006,0.10814135,300.00006,0.11983703,300.00007,0.12568161,300.00007,0.13152397,300.00008,0.14320185,300.00008,0.14903729,300.00009,0.15487033,300.00009
-0.003346287,300,-0.001204859,300,0.018058959,300.00001,0.20956226,300.00008,0.29374727,300.0001,0.37696205,300.00013,0.41792795,300.00014,0.19190891,300.0001,0.22419849,300.00012,-0.003324871,300,-0.003132135,300,0.039443237,300.00002,0.060805066,300.00003,0.082142876,300.00003,0.103455,300.00004,0.12473965,300.00005,0.1459949,300.00006,0.16721867,300.00006,0.18840863,300.00007,0.23067664,300.00008,0.25174842,300.00009,0.27277361,300.0001,0.31466311,300.00011,0.3355127,300.00012,0.3562845,300.00012,0.39752153,300.00013,0.43813006,300.00015,0.45805364,300.00016,0.18382289,300.0001,0.19998963,300.00011,0.2080649,300.00011,0.54869669,300.00028
-0.003346283,300,0.001878306,300,0.04884382,300.00002,0.50328579,300.00013,0.62459938,300.00086,0.67294083,300.00243,0.68774238,300.00335,0.27500045,300.00013,0.32074691,300.00015,-0.003294032,300,-0.002823772,300,0.10089596,300.00003,0.15278541,300.00004,0.20448224,300.00005,0.25594757,300.00006,0.30712378,300.00007,0.35790589,300.00008,0.40805762,300.00008,0.45698557,300.0001,0.54448086,300.00021,0.57826607,300.00035,0.60445854,300.00057,0.64042274,300.0012,0.65322527,300.00158,0.66387411,300.002,0.68080889,300.00288,0.69392771,300.00383,0.69949913,300.00431,0.26352548,300.00013,0.28646082,300.00013,0.29790588,300.00014,0.7208148,300.00681
-0.003346279,300,0.007333404,300,0.10320142,300.00002,0.68253559,300.00331,0.71350036,300.00691,0.72966327,300.0105,0.73585145,300.0123,0.39904827,300.00016,0.46377791,300.00018,-0.003239458,300,-0.002278089,300,0.2090574,300.00003,0.31389668,300.00004,0.4167291,300.00005,0.51192482,300.0001,0.58245298,300.00035,0.62446507,300.00089,0.65066505,300.00161,0.66889949,300.00244,0.69308023,300.00421,0.70135319,300.00511,0.70798921,300.00602,0.71823905,300.00781,0.7224274,300.0087,0.72620512,300.0096,0.73286397,300.0114,0.73865839,300.01321,0.74130966,300.01411,0.38266582,300.00015,0.41536439,300.00016,0.43160253,300.00017,0.752795,300.01867
-0.003346275,300,0.016405213,300,0.19321309,300.00002,0.71775703,300.00998,0.73593743,300.01604,0.74926614,300.02213,0.75490118,300.02521,0.57120539,300.00028,0.63532264,300.00067,-0.003148676,300,-0.001370359,300,0.38612713,300.00002,0.55221517,300.00017,0.6301417,300.00109,0.66474297,300.00247,0.68393995,300.00397,0.69593905,300.00546,0.70469072,300.00696,0.71175072,300.00847,0.72302236,300.0115,0.7277299,300.01301,0.73200504,300.01452,0.73959012,300.01755,0.74300811,300.01907,0.74622484,300.0206,0.75215263,300.02367,0.75752586,300.02676,0.76003854,300.02831,0.55119901,300.00023,0.58975559,300.00034,0.60665536,300.00043,0.77123439,300.03611
-0.00334627,300,0.030923557,300,0.33573347,300,0.73388733,300.01943,0.75148268,300.0293,0.76496766,300.03933,0.77072914,300.04439,0.69103202,300.00224,0.71406169,300.00382,-0.003003314,300,8.31E-05,300,0.59344789,300.00047,0.66086053,300.00259,0.68419082,300.00496,0.6976257,300.00736,0.7075164,300.00975,0.71553594,300.01215,0.72240109,300.01456,0.72845358,300.01699,0.73882863,300.02189,0.74336667,300.02435,0.74756776,300.02682,0.75515118,300.03179,0.75860503,300.0343,0.76187008,300.03681,0.76791565,300.04185,0.77342103,300.04693,0.7760024,300.04949,0.68275763,300.00187,0.69811712,300.00262,0.70420903,300.00302,0.78754971,300.06234
-0.003346264,300,0.05356404,300,0.5326058,300.00007,0.74772463,300.03332,0.76568744,300.04904,0.7795493,300.06502,0.78549247,300.0731,0.72722078,300.00639,0.73748023,300.00857,-0.00277643,300,0.002351446,300,0.66077901,300.00313,0.68622643,300.00679,0.70107159,300.01047,0.71227905,300.0142,0.72145751,300.01796,0.72928107,300.02175,0.73612402,300.02558,0.7422195,300.02944,0.75275096,300.03722,0.75738082,300.04115,0.76167676,300.04508,0.76945153,300.05301,0.77300021,300.057,0.77635906,300.061,0.78258873,300.06905,0.78827341,300.07716,0.79094269,300.08122,0.72403005,300.00584,0.73011159,300.00694,0.73275771,300.00748,0.80291347,300.10172
-0.003346257,300,0.088217704,300,0.63154279,300.00164,0.76079741,300.05393,0.77923276,300.07844,0.79352866,300.10336,0.79967726,300.11595,0.74153935,300.01165,0.74991873,300.01456,-0.002428646,300,0.005828214,300,0.67922628,300.00711,0.69934103,300.01269,0.71357165,300.01838,0.72475871,300.02417,0.73402969,300.03002,0.74197463,300.03592,0.74894491,300.04188,0.75516741,300.04789,0.76594595,300.06002,0.77069524,300.06613,0.77510791,300.07227,0.78310859,300.08463,0.78676676,300.09085,0.790233,300.09709,0.79667167,300.10965,0.80255845,300.12228,0.80532644,300.12863,0.73919822,300.01092,0.74376979,300.01238,0.74590294,300.01311,0.81777086,300.1606
-0.003346248,300,0.14050416,299.99999,0.65657632,300.00448,0.77343991,300.08453,0.79240974,300.12212,0.80719143,300.16037,0.81356932,300.1797,0.75260549,300.01853,0.76090473,300.02255,-0.001902556,300,0.011086599,300,0.69106077,300.01275,0.71090719,300.02129,0.72527344,300.03001,0.73662774,300.03887,0.74606474,300.04785,0.7541701,300.0569,0.76129479,300.06604,0.76766612,300.07526,0.77872774,300.09386,0.78361228,300.10324,0.78815656,300.11266,0.7964109,300.13163,0.80019167,300.14117,0.80377799,300.15075,0.81045008,300.17002,0.8165623,300.18942,0.81944036,300.19916,0.75033162,300.01753,0.75479302,300.01953,0.75690138,300.02054,0.83241263,300.24827
-0.003346238,300,0.21843996,299.99997,0.66859135,300.00849,0.78585004,300.12983,0.80541746,300.18685,0.8207412,300.2449,0.82737493,300.27424,0.76331058,300.02793,0.77175153,300.03356,-0.00111466,300,0.018959704,300,0.70196345,300.021,0.72201508,300.03395,0.7365983,300.04717,0.74815759,300.06061,0.75778785,300.07421,0.76607645,300.08795,0.77337593,300.10181,0.77991485,300.11577,0.79129387,300.14398,0.79632968,300.1582,0.80102101,300.17249,0.8095585,300.20127,0.81347607,300.21576,0.81719637,300.2303,0.82412888,300.25954,0.83049268,300.28899,0.83349361,300.30378,0.76100487,300.02653,0.76553192,300.02933,0.76767544,300.03074,0.84705553,300.37838
