Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,-10.032391,0,-11.15655,0,-10,0,-10
0.00095774594,-10.016358,0.00095774594,-11.140517,0.00095774594,-9.9839674,0.00095774594,-9.9839674
0.002546875,-9.9897563,0.002546875,-11.113916,0.002546875,-9.9573655,0.002546875,-9.9573655
0.0035046211,-9.9737237,0.0035046211,-11.097883,0.0035046211,-9.9413328,0.0035046211,-9.9413328
0.0050937501,-9.9471218,0.0050937501,-11.071281,0.0050937501,-9.9147309,0.0050937501,-9.9147309
0.0060514961,-9.9310891,0.0060514961,-11.055248,0.0060514961,-9.8986983,0.0060514961,-9.8986983
0.0076406249,-9.9044872,0.0076406249,-11.028646,0.0076406249,-9.8720964,0.0076406249,-9.8720964
0.0085983705,-9.8884546,0.0085983705,-11.012614,0.0085983705,-9.8560637,0.0085983705,-9.8560637
0.0101875,-9.8618527,0.0101875,-10.986012,0.0101875,-9.8294618,0.0101875,-9.8294618
0.011145246,-9.8458201,0.011145246,-10.969979,0.011145246,-9.8134292,0.011145246,-9.8134292
0.012734375,-9.8192181,0.012734375,-10.943377,0.012734375,-9.7868273,0.012734375,-9.7868273
0.013692121,-9.8031855,0.013692121,-10.927345,0.013692121,-9.7707947,0.013692121,-9.7707947
0.01528125,-9.7765836,0.01528125,-10.900743,0.01528125,-9.7441927,0.01528125,-9.7441927
0.016238997,-9.760551,0.016238997,-10.88471,0.016238997,-9.7281601,0.016238997,-9.7281601
0.017828126,-9.733949,0.017828126,-10.858108,0.017828126,-9.7015582,0.017828126,-9.7015581
0.018785872,-9.7179164,0.018785872,-10.842076,0.018785872,-9.6855256,0.018785872,-9.6855255
0.020375,-9.6913145,0.020375,-10.815474,0.020375,-9.6589236,0.020375,-9.6589234
0.021332746,-9.6752819,0.021332746,-10.799441,0.021332746,-9.642891,0.021332746,-9.6428904
0.022921875,-9.6486799,0.022921875,-10.772839,0.022921875,-9.6162891,0.022921875,-9.6162879
0.023879621,-9.6326473,0.023879621,-10.756807,0.023879621,-9.6002565,0.023879621,-9.6002535
0.02546875,-9.6060454,0.02546875,-10.730205,0.02546875,-9.5736545,0.02546875,-9.5736485
0.026426496,-9.5900128,0.026426496,-10.714172,0.026426496,-9.5576219,0.026426496,-9.5576064
