Tmax(n208_TLPn208_des) X,Tmax(n208_TLPn208_des) Y,Tmax(n209_TLPn209_des) X,Tmax(n209_TLPn209_des) Y,Tmax(n210_TLPn210_des) X,Tmax(n210_TLPn210_des) Y,Tmax(n211_TLPn211_des) X,Tmax(n211_TLPn211_des) Y,Tmax(n212_TLPn212_des) X,Tmax(n212_TLPn212_des) Y,Tmax(n213_TLPn213_des) X,Tmax(n213_TLPn213_des) Y,Tmax(n214_TLPn214_des) X,Tmax(n214_TLPn214_des) Y,Tmax(n215_TLPn215_des) X,Tmax(n215_TLPn215_des) Y,Tmax(n299_TLPn299_des) X,Tmax(n299_TLPn299_des) Y,Tmax(n312_TLPn312_des) X,Tmax(n312_TLPn312_des) Y,Tmax(n325_TLPn325_des) X,Tmax(n325_TLPn325_des) Y,Tmax(n338_TLPn338_des) X,Tmax(n338_TLPn338_des) Y,Tmax(n351_TLPn351_des) X,Tmax(n351_TLPn351_des) Y,Tmax(n364_TLPn364_des) X,Tmax(n364_TLPn364_des) Y,Tmax(n377_TLPn377_des) X,Tmax(n377_TLPn377_des) Y,Tmax(n390_TLPn390_des) X,Tmax(n390_TLPn390_des) Y,Tmax(n403_TLPn403_des) X,Tmax(n403_TLPn403_des) Y,Tmax(n416_TLPn416_des) X,Tmax(n416_TLPn416_des) Y,Tmax(n429_TLPn429_des) X,Tmax(n429_TLPn429_des) Y,Tmax(n442_TLPn442_des) X,Tmax(n442_TLPn442_des) Y,Tmax(n455_TLPn455_des) X,Tmax(n455_TLPn455_des) Y,Tmax(n468_TLPn468_des) X,Tmax(n468_TLPn468_des) Y,Tmax(n481_TLPn481_des) X,Tmax(n481_TLPn481_des) Y,Tmax(n494_TLPn494_des) X,Tmax(n494_TLPn494_des) Y,Tmax(n507_TLPn507_des) X,Tmax(n507_TLPn507_des) Y,Tmax(n520_TLPn520_des) X,Tmax(n520_TLPn520_des) Y,Tmax(n533_TLPn533_des) X,Tmax(n533_TLPn533_des) Y,Tmax(n546_TLPn546_des) X,Tmax(n546_TLPn546_des) Y
-0.000147392,300,0.00080415,300,0.009370254,300,0.094992676,300.00003,0.13292365,300.00005,0.1707447,300.00006,0.18960933,300.00006,0.22723758,300.00008,-0.000137877,300,-5.22E-05,300,0.018891172,300.00001,0.028413166,300.00001,0.037934541,300.00001,0.047453981,300.00002,0.056970457,300.00002,0.066483157,300.00002,0.075991431,300.00003,0.08549475,300.00003,0.10448484,300.00004,0.11397091,300.00004,0.1234506,300.00004,0.14238982,300.00005,0.15184887,300.00005,0.16130057,300.00006,0.18018103,300.00006,0.19902938,300.00007,0.20844093,300.00007,0.21784375,300.00007
-0.00014738,300,0.003316368,300,0.034505682,300.00001,0.34284153,300.00008,0.47564675,300.00011,0.59827376,300.00018,0.64543157,300.0003,0.70109205,300.00083,-0.000112746,300,0.000198962,300,0.069143261,300.00002,0.10372162,300.00003,0.13822011,300.00003,0.1726257,300.00004,0.20692731,300.00005,0.24111353,300.00006,0.27517166,300.00007,0.30908691,300.00008,0.37641327,300.00009,0.4097723,300.0001,0.44287454,300.00011,0.50795425,300.00012,0.5395368,300.00013,0.56990725,300.00015,0.62367549,300.00023,0.66350634,300.0004,0.6783852,300.00052,0.69071825,300.00067
-0.00014738,300,0.00830512,300,0.084364907,300.00002,0.699763,300.00084,0.75092012,300.00281,0.70655442,300.00052,0.73598041,300.00101,0.76476669,300.0022,-6.29E-05,300,0.000697691,300,0.16849894,300.00003,0.25202145,300.00004,0.33474828,300.00006,0.41639904,300.00007,0.49631472,300.00008,0.57175754,300.00011,0.63342548,300.00022,0.67399362,300.00047,0.71765156,300.00129,0.73114452,300.00177,0.74193489,300.00228,0.75861708,300.00336,0.65725017,300.00023,0.68473649,300.00034,0.72328564,300.00075,0.74571176,300.0013,0.75336317,300.00159,0.75957194,300.00189
-0.00014738,300,0.017135635,300,0.17221911,300.00002,0.74799233,300.00182,0.77579419,300.0044,0.76279248,300.00202,0.77459354,300.00287,0.78836748,300.00448,2.54E-05,300,0.001580308,300,0.34204173,300.00004,0.506628,300.00005,0.63954994,300.00022,0.69897681,300.00088,0.72781523,300.00178,0.74611863,300.00278,0.71048262,300.00063,0.73422161,300.0012,0.75745744,300.00246,0.76472401,300.0031,0.77068816,300.00375,0.78029004,300.00505,0.74237272,300.00119,0.75408486,300.0016,0.76940573,300.00245,0.77882308,300.00328,0.78240698,300.00368,0.78554616,300.00408
-0.00014738,300,0.031827547,300,0.31676883,300.00002,0.76726317,300.00336,0.78610325,300.0064,0.78321907,300.00429,0.78965392,300.00532,0.79964914,300.00729,0.000172197,300,0.003048679,300,0.60612044,300.00009,0.71068278,300.00127,0.74305391,300.00295,0.73655401,300.00166,0.7684366,300.00627,0.77645046,300.00793,0.74909412,300.00178,0.75997326,300.00258,0.7729946,300.00412,0.77786898,300.00489,0.78218675,300.00565,0.78971043,300.00717,0.77447541,300.00322,0.7792558,300.00376,0.78662777,300.00481,0.79240917,300.00582,0.79496543,300.00631,0.79736876,300.0068
-0.00014738,300,0.055345738,300,0.53889459,300.00001,0.77644779,300.00521,0.79323436,300.00883,0.79370977,300.00706,0.79918666,300.00832,0.80869533,300.0108,0.000407291,300,0.005400152,300,0.7219883,300.00191,0.7500636,300.00455,0.76451975,300.00717,0.752311,300.00283,0.78383598,300.01236,0.79133117,300.01498,0.76438204,300.00336,0.77101632,300.0043,0.78122101,300.00612,0.78554566,300.00702,0.78952827,300.00793,0.79670915,300.00974,0.7874289,300.00578,0.79069695,300.00642,0.79652654,300.0077,0.80171705,300.00894,0.80413663,300.00956,0.80645923,300.01018
-0.00014738,300,0.092006692,300,0.69289117,300.00095,0.78349677,300.00747,0.80015079,300.0119,0.80256881,300.01056,0.80803038,300.01217,0.81771598,300.01538,0.000774243,300,0.009070944,300,0.74528522,300.00497,0.7639892,300.00892,0.77729169,300.01289,0.76006603,300.00421,0.79684612,300.02089,0.80461496,300.02495,0.77266144,300.00525,0.7783942,300.00636,0.78814367,300.00857,0.79242931,300.00968,0.79641639,300.01079,0.80366782,300.01301,0.79654834,300.00894,0.79963839,300.00975,0.8053607,300.01137,0.81059087,300.01297,0.81305287,300.01377,0.81542535,300.01457
-0.00014738,300,0.14803666,299.99999,0.72525667,300.00315,0.7904778,300.01034,0.80742406,300.01587,0.81148108,300.01515,0.81709142,300.01725,0.82708969,300.02147,0.001336762,300,0.014698829,300,0.75701399,300.00903,0.77542302,300.01494,0.78905592,300.02093,0.76599359,300.00588,0.80935532,300.03307,0.81747983,300.03922,0.77969085,300.00759,0.78534885,300.00897,0.79518441,300.01172,0.79954291,300.0131,0.80360856,300.01448,0.81102318,300.01727,0.80533866,300.01304,0.80848406,300.01409,0.81434573,300.0162,0.81972953,300.0183,0.82226983,300.01936,0.82472076,300.02041
-0.00014738,300,0.23229726,299.99998,0.73709289,300.00604,0.79779113,300.01408,0.81515022,300.0211,0.8207245,300.02127,0.82652831,300.02405,0.83690345,300.02965,0.002187737,300,0.023213447,300,0.76753437,300.01467,0.78642259,300.02346,0.80053011,300.0324,0.77186331,300.00798,0.82170024,300.05056,0.83022955,300.05976,0.7868142,300.01061,0.79256109,300.01234,0.80260161,300.01582,0.80706405,300.01758,0.8112328,300.01933,0.81884996,300.02287,0.81438688,300.01848,0.8176299,300.01987,0.82368625,300.02266,0.82926196,300.02545,0.83189692,300.02685,0.83444162,300.02825
-0.00014738,300,0.35698632,299.99996,0.74678838,300.00999,0.80550651,300.01901,0.82335872,300.02803,0.83037062,300.02949,0.8364014,300.03321,0.8472149,300.04069,0.003462317,300,0.035965748,300,0.77778767,300.02268,0.79727222,300.03567,0.81192473,300.04888,0.77805348,300.01067,0.83408241,300.07577,0.84306953,300.08941,0.79427086,300.01455,0.80014772,300.01678,0.81044361,300.02125,0.81503041,300.0235,0.81932129,300.02576,0.82717646,300.0303,0.82380023,300.02579,0.82716038,300.02764,0.83344655,300.03135,0.8392465,300.03508,0.84199163,300.03695,0.84464528,300.03882
