Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,0.16760915,0,-0.95655008,0,0.2,0,0.2
5.7187545e-13,0.16760915,5.7187545e-13,-0.95655008,5.7187545e-13,0.2,5.7187545e-13,0.2
0.002859375,0.16760915,0.002859375,-0.95655008,0.002859375,0.2,0.002859375,0.12116149
0.0057187499,0.16760915,0.0057187499,-0.95655008,0.0057187499,0.2,0.0057187499,0.10385936
0.0085781254,0.16760915,0.0085781254,-0.95655008,0.0085781254,0.2,0.0085781254,0.093582711
0.0114375,0.16760915,0.0114375,-0.95655008,0.0114375,0.2,0.0114375,0.086244839
0.014296875,0.16760915,0.014296875,-0.95655008,0.014296875,0.2,0.014296875,0.080531558
0.017156251,0.16760915,0.017156251,-0.95655008,0.017156251,0.2,0.017156251,0.075850682
0.020015625,0.16760915,0.020015625,-0.95655008,0.020015625,0.2,0.020015625,0.071884167
0.022875,0.16760915,0.022875,-0.95655008,0.022875,0.2,0.022875,0.068441313
0.025734374,0.16760915,0.025734374,-0.95655008,0.025734374,0.2,0.025734374,0.065398714
0.028593751,0.16760915,0.028593751,-0.95655008,0.028593751,0.2,0.028593751,0.062671903
0.031453125,0.16760915,0.031453125,-0.95655008,0.031453125,0.2,0.031453125,0.060200521
0.032882813,0.16760915,0.032882813,-0.95655008,0.032882813,0.2,0.032882813,0.059046176
0.034312502,0.16760918,0.034312502,-0.95655005,0.034312502,0.2,0.034312502,0.057939876
0.035027344,0.16760935,0.035027344,-0.95654988,0.035027344,0.2,0.035027344,0.05740349
0.035742186,0.16761016,0.035742186,-0.95654907,0.035742186,0.2,0.035742186,0.056877683
0.036099609,0.16761173,0.036099609,-0.9565475,0.036099609,0.2,0.036099609,0.056618621
0.036457032,0.16761519,0.036457032,-0.95654404,0.036457032,0.2,0.036457032,0.056362075
0.036635742,0.16761873,0.036635742,-0.9565405,0.036635742,0.2,0.036635742,0.056234734
0.036814455,0.16762402,0.036814455,-0.95653521,0.036814455,0.2,0.036814455,0.056108018
0.03690381,0.1676278,0.03690381,-0.95653144,0.03690381,0.2,0.03690381,0.056044895
0.036993165,0.16763242,0.036993165,-0.95652681,0.036993165,0.2,0.036993165,0.055981931
0.037037842,0.16763518,0.037037842,-0.95652406,0.037037842,0.2,0.037037842,0.055950509
0.037082519,0.16763825,0.037082519,-0.95652099,0.037082519,0.2,0.037082519,0.055919127
0.037127197,0.16764166,0.037127197,-0.95651757,0.037127197,0.2,0.037127197,0.055887786
0.037171874,0.16764547,0.037171874,-0.95651376,0.037171874,0.2,0.037171874,0.055856485
0.037216552,0.16764971,0.037216552,-0.95650952,0.037216552,0.2,0.037216552,0.055825226
0.037261229,0.16765443,0.037261229,-0.9565048,0.037261229,0.2,0.037261229,0.055794009
0.037305906,0.1676597,0.037305906,-0.95649953,0.037305906,0.2,0.037305906,0.055762835
0.037350588,0.16766557,0.037350588,-0.95649366,0.037350588,0.2,0.037350588,0.055731703
0.037395265,0.16767211,0.037395265,-0.95648712,0.037395265,0.2,0.037395265,0.055700615
0.037439942,0.1676794,0.037439942,-0.95647983,0.037439942,0.2,0.037439942,0.055669571
0.03748462,0.16768753,0.03748462,-0.9564717,0.03748462,0.2,0.03748462,0.055638572
0.037529297,0.16769659,0.037529297,-0.95646264,0.037529297,0.2,0.037529297,0.055607619
0.037573975,0.16770669,0.037573975,-0.95645254,0.037573975,0.2,0.037573975,0.055576714
0.037618652,0.16771796,0.037618652,-0.95644127,0.037618652,0.2,0.037618652,0.055545856
0.037663329,0.16773053,0.037663329,-0.9564287,0.037663329,0.2,0.037663329,0.055515049
0.037708007,0.16774454,0.037708007,-0.95641469,0.037708007,0.2,0.037708007,0.055484292
0.037752684,0.16776016,0.037752684,-0.95639907,0.037752684,0.2,0.037752684,0.055453589
0.037797362,0.16777758,0.037797362,-0.95638165,0.037797362,0.2,0.037797362,0.05542294
0.037842043,0.16779701,0.037842043,-0.95636222,0.037842043,0.2,0.037842043,0.055392348
0.03788672,0.16781867,0.03788672,-0.95634056,0.03788672,0.2,0.03788672,0.055361815
0.037931398,0.16784283,0.037931398,-0.95631641,0.037931398,0.2,0.037931398,0.055331343
0.037976075,0.16786976,0.037976075,-0.95628947,0.037976075,0.2,0.037976075,0.055300936
0.038020752,0.16789979,0.038020752,-0.95625945,0.038020752,0.2,0.038020752,0.055270597
0.03806543,0.16793326,0.03806543,-0.95622597,0.03806543,0.2,0.03806543,0.05524033
0.038110107,0.16797059,0.038110107,-0.95618864,0.038110107,0.2,0.038110107,0.055210138
0.038154785,0.1680122,0.038154785,-0.95614703,0.038154785,0.2,0.038154785,0.055180025
0.038199462,0.16805859,0.038199462,-0.95610064,0.038199462,0.2,0.038199462,0.055149998
0.038244139,0.1681103,0.038244139,-0.95604893,0.038244139,0.2,0.038244139,0.055120061
0.038288817,0.16816793,0.038288817,-0.9559913,0.038288817,0.2,0.038288817,0.05509022
0.038333498,0.16823217,0.038333498,-0.95592706,0.038333498,0.2,0.038333498,0.055060483
0.038378175,0.16830376,0.038378175,-0.95585547,0.038378175,0.2,0.038378175,0.055030856
0.038422853,0.16838353,0.038422853,-0.9557757,0.038422853,0.2,0.038422853,0.055001348
0.03846753,0.16847241,0.03846753,-0.95568682,0.03846753,0.2,0.03846753,0.054971969
0.038512208,0.16857144,0.038512208,-0.9555878,0.038512208,0.2,0.038512208,0.054942727
0.038556885,0.16868174,0.038556885,-0.95547749,0.038556885,0.2,0.038556885,0.054913636
0.038601562,0.16880458,0.038601562,-0.95535465,0.038601562,0.2,0.038601562,0.054884707
0.03864624,0.16894138,0.03864624,-0.95521785,0.03864624,0.2,0.03864624,0.054855953
0.038690917,0.16909369,0.038690917,-0.95506554,0.038690917,0.2,0.038690917,0.05482739
0.038735595,0.16926322,0.038735595,-0.95489601,0.038735595,0.2,0.038735595,0.054799034
0.038780272,0.16945189,0.038780272,-0.95470734,0.038780272,0.2,0.038780272,0.054770903
0.038824949,0.16966179,0.038824949,-0.95449744,0.038824949,0.2,0.038824949,0.054743017
0.038869631,0.16989527,0.038869631,-0.95426396,0.038869631,0.2,0.038869631,0.054715398
0.038914308,0.17015486,0.038914308,-0.95400437,0.038914308,0.2,0.038914308,0.054688069
0.038958985,0.17044342,0.038958985,-0.95371582,0.038958985,0.2,0.038958985,0.054661054
0.039003663,0.17076402,0.039003663,-0.95339521,0.039003663,0.2,0.039003663,0.054634383
0.03904834,0.1711201,0.03904834,-0.95303913,0.03904834,0.2,0.03904834,0.054608084
0.039093018,0.17151537,0.039093018,-0.95264386,0.039093018,0.2,0.039093018,0.054582189
0.039137695,0.17195395,0.039137695,-0.95220528,0.039137695,0.2,0.039137695,0.054556732
0.039182372,0.17244028,0.039182372,-0.95171895,0.039182372,0.2,0.039182372,0.05453175
0.03922705,0.17297923,0.03922705,-0.95118,0.03922705,0.2,0.03922705,0.05450728
0.039271727,0.17357609,0.039271727,-0.95058314,0.039271727,0.2,0.039271727,0.054483363
0.039316405,0.17423658,0.039316405,-0.94992265,0.039316405,0.2,0.039316405,0.05446004
0.039361086,0.17496688,0.039361086,-0.94919235,0.039361086,0.2,0.039361086,0.054437355
0.039405763,0.17577365,0.039405763,-0.94838558,0.039405763,0.2,0.039405763,0.054415352
0.039450441,0.17666402,0.039450441,-0.94749521,0.039450441,0.2,0.039450441,0.054394076
0.039495118,0.17764562,0.039495118,-0.94651361,0.039495118,0.2,0.039495118,0.054373571
0.039539795,0.17872654,0.039539795,-0.94543269,0.039539795,0.2,0.039539795,0.054353882
0.039584473,0.17991536,0.039584473,-0.94424387,0.039584473,0.2,0.039584473,0.054335051
0.03962915,0.18122112,0.03962915,-0.94293811,0.03962915,0.2,0.03962915,0.054317119
0.039673828,0.18265324,0.039673828,-0.94150599,0.039673828,0.2,0.039673828,0.054300121
0.039718505,0.18422157,0.039718505,-0.93993766,0.039718505,0.2,0.039718505,0.054284089
0.039763182,0.18593626,0.039763182,-0.93822297,0.039763182,0.2,0.039763182,0.054269052
0.03980786,0.18780772,0.03980786,-0.93635152,0.03980786,0.2,0.03980786,0.054255028
0.039852537,0.18984656,0.039852537,-0.93431267,0.039852537,0.2,0.039852537,0.054242031
0.039897218,0.19206351,0.039897218,-0.93209572,0.039897218,0.2,0.039897218,0.054230064
0.039941896,0.19446929,0.039941896,-0.92968994,0.039941896,0.2,0.039941896,0.054219124
0.039986573,0.19707457,0.039986573,-0.92708466,0.039986573,0.2,0.039986573,0.054209197
0.039999999,0.19789861,0.039999999,-0.92626062,0.039999999,0.2,0.039999999,0.054208662
0.039999999,0.19789861,0.039999999,-0.92626062,0.039999999,0.2,0.039999999,0.054208662
0.040031251,0.19978293,0.040031251,-0.92437631,0.040031251,0.2,0.040031251,0.054208009
0.040075928,0.20240134,0.040075928,-0.92175789,0.040075928,0.2,0.040075928,0.054207153
0.040120605,0.20493938,0.040120605,-0.91921985,0.040120605,0.2,0.040120605,0.054206378
0.040165283,0.20740457,0.040165283,-0.91675466,0.040165283,0.2,0.040165283,0.054205674
0.04020996,0.20980354,0.04020996,-0.91435569,0.04020996,0.2,0.04020996,0.054205034
0.040254638,0.21214215,0.040254638,-0.91201708,0.040254638,0.2,0.040254638,0.05420445
0.040299315,0.21442562,0.040299315,-0.90973361,0.040299315,0.2,0.040299315,0.054203916
0.040343992,0.21665862,0.040343992,-0.90750061,0.040343992,0.2,0.040343992,0.054203426
0.040388674,0.21884531,0.040388674,-0.90531392,0.040388674,0.2,0.040388674,0.054202977
0.040433351,0.22098947,0.040433351,-0.90316976,0.040433351,0.2,0.040433351,0.054202564
0.040478028,0.22309447,0.040478028,-0.90106476,0.040478028,0.2,0.040478028,0.054202183
0.040522706,0.22516337,0.040522706,-0.89899586,0.040522706,0.2,0.040522706,0.054201832
0.040567383,0.22719895,0.040567383,-0.89696028,0.040567383,0.2,0.040567383,0.054201507
0.040612061,0.22920374,0.040612061,-0.89495549,0.040612061,0.2,0.040612061,0.054201208
0.040656738,0.23118003,0.040656738,-0.8929792,0.040656738,0.2,0.040656738,0.05420093
0.040701415,0.23312992,0.040701415,-0.89102931,0.040701415,0.2,0.040701415,0.054200672
0.040746093,0.23505533,0.040746093,-0.8891039,0.040746093,0.2,0.040746093,0.054200434
0.04079077,0.23695801,0.04079077,-0.88720122,0.04079077,0.2,0.04079077,0.054200212
0.040835448,0.23883957,0.040835448,-0.88531966,0.040835448,0.2,0.040835448,0.054200006
