N1_contact TotalCurrent(n252_TLPn252_des) X,N1_contact TotalCurrent(n252_TLPn252_des) Y,N1_contact TotalCurrent(n253_TLPn253_des) X,N1_contact TotalCurrent(n253_TLPn253_des) Y,N1_contact TotalCurrent(n254_TLPn254_des) X,N1_contact TotalCurrent(n254_TLPn254_des) Y,N1_contact TotalCurrent(n255_TLPn255_des) X,N1_contact TotalCurrent(n255_TLPn255_des) Y,N1_contact TotalCurrent(n256_TLPn256_des) X,N1_contact TotalCurrent(n256_TLPn256_des) Y,N1_contact TotalCurrent(n257_TLPn257_des) X,N1_contact TotalCurrent(n257_TLPn257_des) Y,N1_contact TotalCurrent(n258_TLPn258_des) X,N1_contact TotalCurrent(n258_TLPn258_des) Y,N1_contact TotalCurrent(n300_TLPn300_des) X,N1_contact TotalCurrent(n300_TLPn300_des) Y,N1_contact TotalCurrent(n313_TLPn313_des) X,N1_contact TotalCurrent(n313_TLPn313_des) Y,N1_contact TotalCurrent(n326_TLPn326_des) X,N1_contact TotalCurrent(n326_TLPn326_des) Y,N1_contact TotalCurrent(n339_TLPn339_des) X,N1_contact TotalCurrent(n339_TLPn339_des) Y,N1_contact TotalCurrent(n352_TLPn352_des) X,N1_contact TotalCurrent(n352_TLPn352_des) Y,N1_contact TotalCurrent(n365_TLPn365_des) X,N1_contact TotalCurrent(n365_TLPn365_des) Y,N1_contact TotalCurrent(n378_TLPn378_des) X,N1_contact TotalCurrent(n378_TLPn378_des) Y,N1_contact TotalCurrent(n391_TLPn391_des) X,N1_contact TotalCurrent(n391_TLPn391_des) Y,N1_contact TotalCurrent(n404_TLPn404_des) X,N1_contact TotalCurrent(n404_TLPn404_des) Y,N1_contact TotalCurrent(n417_TLPn417_des) X,N1_contact TotalCurrent(n417_TLPn417_des) Y,N1_contact TotalCurrent(n430_TLPn430_des) X,N1_contact TotalCurrent(n430_TLPn430_des) Y,N1_contact TotalCurrent(n443_TLPn443_des) X,N1_contact TotalCurrent(n443_TLPn443_des) Y,N1_contact TotalCurrent(n456_TLPn456_des) X,N1_contact TotalCurrent(n456_TLPn456_des) Y,N1_contact TotalCurrent(n469_TLPn469_des) X,N1_contact TotalCurrent(n469_TLPn469_des) Y,N1_contact TotalCurrent(n482_TLPn482_des) X,N1_contact TotalCurrent(n482_TLPn482_des) Y,N1_contact TotalCurrent(n495_TLPn495_des) X,N1_contact TotalCurrent(n495_TLPn495_des) Y,N1_contact TotalCurrent(n508_TLPn508_des) X,N1_contact TotalCurrent(n508_TLPn508_des) Y,N1_contact TotalCurrent(n521_TLPn521_des) X,N1_contact TotalCurrent(n521_TLPn521_des) Y,N1_contact TotalCurrent(n534_TLPn534_des) X,N1_contact TotalCurrent(n534_TLPn534_des) Y,Tmax(n252_TLPn252_des) X,Tmax(n252_TLPn252_des) Y,Tmax(n253_TLPn253_des) X,Tmax(n253_TLPn253_des) Y,Tmax(n254_TLPn254_des) X,Tmax(n254_TLPn254_des) Y,Tmax(n255_TLPn255_des) X,Tmax(n255_TLPn255_des) Y,Tmax(n256_TLPn256_des) X,Tmax(n256_TLPn256_des) Y,Tmax(n257_TLPn257_des) X,Tmax(n257_TLPn257_des) Y,Tmax(n258_TLPn258_des) X,Tmax(n258_TLPn258_des) Y,Tmax(n300_TLPn300_des) X,Tmax(n300_TLPn300_des) Y,Tmax(n313_TLPn313_des) X,Tmax(n313_TLPn313_des) Y,Tmax(n326_TLPn326_des) X,Tmax(n326_TLPn326_des) Y,Tmax(n339_TLPn339_des) X,Tmax(n339_TLPn339_des) Y,Tmax(n352_TLPn352_des) X,Tmax(n352_TLPn352_des) Y,Tmax(n365_TLPn365_des) X,Tmax(n365_TLPn365_des) Y,Tmax(n378_TLPn378_des) X,Tmax(n378_TLPn378_des) Y,Tmax(n391_TLPn391_des) X,Tmax(n391_TLPn391_des) Y,Tmax(n404_TLPn404_des) X,Tmax(n404_TLPn404_des) Y,Tmax(n417_TLPn417_des) X,Tmax(n417_TLPn417_des) Y,Tmax(n430_TLPn430_des) X,Tmax(n430_TLPn430_des) Y,Tmax(n443_TLPn443_des) X,Tmax(n443_TLPn443_des) Y,Tmax(n456_TLPn456_des) X,Tmax(n456_TLPn456_des) Y,Tmax(n469_TLPn469_des) X,Tmax(n469_TLPn469_des) Y,Tmax(n482_TLPn482_des) X,Tmax(n482_TLPn482_des) Y,Tmax(n495_TLPn495_des) X,Tmax(n495_TLPn495_des) Y,Tmax(n508_TLPn508_des) X,Tmax(n508_TLPn508_des) Y,Tmax(n521_TLPn521_des) X,Tmax(n521_TLPn521_des) Y,Tmax(n534_TLPn534_des) X,Tmax(n534_TLPn534_des) Y
-0.000568934,1.50E-17,0.000544662,1.00E-10,0.010596892,1.00E-09,0.11212136,1.00E-08,0.15719805,1.40E-08,0.20210781,1.80E-08,0.22448937,2.00E-08,-0.000557801,1.00E-12,-0.000457608,1.00E-11,0.021815607,2.00E-09,0.033069971,3.00E-09,0.044347325,4.00E-09,0.055638452,5.00E-09,0.06693667,6.00E-09,0.078237143,7.00E-09,0.089536355,8.00E-09,0.10083173,9.00E-09,0.12340382,1.10E-08,0.13467798,1.20E-08,0.14594296,1.30E-08,0.16844261,1.50E-08,0.17967609,1.60E-08,0.19089799,1.70E-08,0.2133051,1.90E-08,0.23566014,2.10E-08,0.24681693,2.20E-08,-0.000568934,300,0.000544662,300,0.010596892,300,0.11212136,300.00003,0.15719805,300.00005,0.20210781,300.00006,0.22448937,300.00007,-0.000557801,300,-0.000457608,300,0.021815607,300.00001,0.033069971,300.00001,0.044347325,300.00001,0.055638452,300.00002,0.06693667,300.00002,0.078237143,300.00002,0.089536355,300.00003,0.10083173,300.00003,0.12340382,300.00004,0.13467798,300.00004,0.14594296,300.00004,0.16844261,300.00005,0.17967609,300.00005,0.19089799,300.00006,0.2133051,300.00006,0.23566014,300.00007,0.24681693,300.00007
-0.00056889,-2.39E-17,0.003487891,2.20E-10,0.040284074,2.20E-09,0.40553381,2.20E-08,0.55915206,3.08E-08,0.67379818,3.96E-08,0.7043681,4.40E-08,-0.000528369,2.20E-12,-0.000163641,2.20E-11,0.081398278,4.40E-09,0.12249707,6.60E-09,0.16349029,8.80E-09,0.20434059,1.10E-08,0.24502336,1.32E-08,0.28551483,1.54E-08,0.32578777,1.76E-08,0.36580869,1.98E-08,0.44490006,2.42E-08,0.48380235,2.64E-08,0.52203468,2.86E-08,0.59423393,3.30E-08,0.62579086,3.52E-08,0.65241085,3.74E-08,0.6907521,4.18E-08,0.71556035,4.62E-08,0.72498349,4.84E-08,-0.00056889,300,0.003487891,300,0.040284074,300.00001,0.40553381,300.00009,0.55915206,300.00013,0.67379818,300.00035,0.7043681,300.00064,-0.000528369,300,-0.000163641,300,0.081398278,300.00002,0.12249707,300.00003,0.16349029,300.00004,0.20434059,300.00005,0.24502336,300.00005,0.28551483,300.00006,0.32578777,300.00007,0.36580869,300.00008,0.44490006,300.0001,0.48380235,300.0001,0.52203468,300.00011,0.59423393,300.00015,0.62579086,300.00019,0.65241085,300.00025,0.6907521,300.00049,0.71556035,300.00082,0.72498349,300.00102
-0.00056889,7.73E-17,0.009344638,3.64E-10,0.099489245,3.64E-09,0.73664231,3.64E-08,0.67728285,3.58E-08,0.75558001,4.61E-08,0.77119155,5.12E-08,-0.00047002,3.64E-12,0.000420074,3.64E-11,0.1994431,7.28E-09,0.29842109,1.09E-08,0.39601861,1.46E-08,0.4914653,1.82E-08,0.58146406,2.18E-08,0.65199888,2.55E-08,0.69392314,2.91E-08,0.71921869,3.28E-08,0.74985286,4.00E-08,0.76050283,4.37E-08,0.7694386,4.73E-08,0.70653502,3.84E-08,0.72829257,4.10E-08,0.74405893,4.35E-08,0.76429659,4.86E-08,0.77687543,5.38E-08,0.78172119,5.63E-08,-0.00056889,300,0.009344638,300,0.099489245,300.00002,0.73664231,300.00143,0.67728285,300.00024,0.75558001,300.00114,0.77119155,300.00175,-0.00047002,300,0.000420074,300,0.1994431,300.00003,0.29842109,300.00005,0.39601861,300.00006,0.4914653,300.00008,0.58146406,300.00011,0.65199888,300.00023,0.69392314,300.00053,0.71921869,300.00095,0.74985286,300.00195,0.76050283,300.00249,0.7694386,300.00305,0.70653502,300.00038,0.72829257,300.00059,0.74405893,300.00086,0.76429659,300.00145,0.77687543,300.00206,0.78172119,300.00237
-0.00056889,5.28E-18,0.019744215,5.37E-10,0.20385829,5.37E-09,0.77208341,4.07E-08,0.75645291,4.19E-08,0.78870358,5.39E-08,0.79653528,5.98E-08,-0.000366756,5.37E-12,0.001453538,5.37E-11,0.40458925,1.07E-08,0.59175029,1.61E-08,0.69469332,2.15E-08,0.73361457,2.68E-08,0.7556779,3.22E-08,0.72563989,2.85E-08,0.74924125,3.26E-08,0.76269116,3.66E-08,0.77942637,4.48E-08,0.78554501,4.89E-08,0.79084581,5.29E-08,0.76851354,4.49E-08,0.77717177,4.79E-08,0.7836317,5.09E-08,0.7929022,5.68E-08,0.79978225,6.28E-08,0.80275004,6.58E-08,-0.00056889,300,0.019744215,300,0.20385829,300.00002,0.77208341,300.00255,0.75645291,300.00117,0.78870358,300.00287,0.79653528,300.00369,-0.000366756,300,0.001453538,300,0.40458925,300.00005,0.59175029,300.00009,0.69469332,300.00056,0.73361457,300.00145,0.7556779,300.00247,0.72563989,300.00064,0.74924125,300.00125,0.76269116,300.0019,0.77942637,300.00321,0.78554501,300.00388,0.79084581,300.00454,0.76851354,300.00159,0.77717177,300.00203,0.7836317,300.00246,0.7929022,300.00329,0.79978225,300.00409,0.80275004,300.00449
-0.000568889,3.04E-17,0.037112056,7.44E-10,0.37485654,7.44E-09,0.78604835,4.59E-08,0.78597282,4.91E-08,0.8025724,6.32E-08,0.80850491,7.02E-08,-0.000194959,7.44E-12,0.003174084,7.44E-11,0.67105109,1.49E-08,0.7398778,2.23E-08,0.73843068,2.35E-08,0.77651825,3.72E-08,0.7861878,4.46E-08,0.76095779,3.21E-08,0.77224086,3.67E-08,0.77990517,4.13E-08,0.79133919,5.05E-08,0.79606339,5.51E-08,0.80037152,5.97E-08,0.79119895,5.27E-08,0.79551169,5.62E-08,0.79923674,5.97E-08,0.80563812,6.67E-08,0.81121589,7.37E-08,0.8137987,7.72E-08,-0.000568889,300,0.037112056,300,0.37485654,300.00003,0.78604835,300.00408,0.78597282,300.00299,0.8025724,300.0051,0.80850491,300.0061,-0.000194959,300,0.003174084,300,0.67105109,300.00032,0.7398778,300.00188,0.73843068,300.00115,0.77651825,300.00531,0.7861878,300.00701,0.76095779,300.0017,0.77224086,300.00251,0.77990517,300.0033,0.79133919,300.00486,0.79606339,300.00564,0.80037152,300.00642,0.79119895,300.00353,0.79551169,300.00407,0.79923674,300.00459,0.80563812,300.0056,0.81121589,300.0066,0.8137987,300.00709
-0.000568889,-2.98E-17,0.065007655,9.93E-10,0.62000847,9.93E-09,0.79405159,5.21E-08,0.7985885,5.79E-08,0.81222517,7.44E-08,0.81796664,8.26E-08,8.02E-05,9.93E-12,0.005932394,9.93E-11,0.74449559,1.99E-08,0.76747337,2.98E-08,0.75736349,2.60E-08,0.79234862,4.96E-08,0.80145817,5.96E-08,0.77519509,3.65E-08,0.78258508,4.17E-08,0.78867734,4.69E-08,0.79892695,5.73E-08,0.80341856,6.25E-08,0.80759937,6.78E-08,0.80238309,6.20E-08,0.80587578,6.61E-08,0.80914078,7.03E-08,0.81516,7.85E-08,0.82066067,8.68E-08,0.82325414,9.09E-08,-0.000568889,300,0.065007655,300,0.62000847,300.00009,0.79405159,300.00592,0.7985885,300.00527,0.81222517,300.00785,0.81796664,300.00912,8.02E-05,300,0.005932394,300,0.74449559,300.0025,0.76747337,300.0052,0.75736349,300.00212,0.79234862,300.01052,0.80145817,300.0132,0.77519509,300.00311,0.78258508,300.00406,0.78867734,300.005,0.79892695,300.00685,0.80341856,300.00778,0.80759937,300.00871,0.80238309,300.00592,0.80587578,300.00657,0.80914078,300.00722,0.81516,300.00849,0.82066067,300.00975,0.82325414,300.01038
-0.000568889,5.73E-18,0.10857278,1.29E-09,0.721254,1.29E-08,0.80114861,5.96E-08,0.80794189,6.83E-08,0.8215108,8.78E-08,0.82741464,9.76E-08,0.00050969,1.29E-11,0.010245029,1.29E-10,0.76194639,2.58E-08,0.78069832,3.87E-08,0.76613022,2.90E-08,0.8057199,6.46E-08,0.81525986,7.75E-08,0.78334439,4.17E-08,0.78995938,4.77E-08,0.79582433,5.36E-08,0.80604731,6.55E-08,0.81059757,7.15E-08,0.81485568,7.75E-08,0.81160723,7.32E-08,0.81507265,7.81E-08,0.81836663,8.29E-08,0.82452218,9.27E-08,0.83019973,1.02E-07,0.83288725,1.07E-07,-0.000568889,300,0.10857278,300,0.721254,300.00146,0.80114861,300.00821,0.80794189,300.0081,0.8215108,300.0114,0.82741464,300.01304,0.00050969,300,0.010245029,300,0.76194639,300.00557,0.78069832,300.00961,0.76613022,300.00328,0.8057199,300.01775,0.81525986,300.02188,0.78334439,300.0048,0.78995938,300.00594,0.79582433,300.00708,0.80604731,300.00934,0.81059757,300.01048,0.81485568,300.01163,0.81160723,300.00893,0.81507265,300.00976,0.81836663,300.01058,0.82452218,300.01222,0.83019973,300.01386,0.83288725,300.01468
-0.000568889,1.73E-17,0.1751499,1.65E-09,0.74235509,1.65E-08,0.80849256,6.85E-08,0.81712412,8.08E-08,0.83115131,1.04E-07,0.83729949,1.15E-07,0.001168315,1.65E-11,0.016870844,1.65E-10,0.77344316,3.30E-08,0.79253183,4.95E-08,0.7723126,3.26E-08,0.81869581,8.25E-08,0.82878129,9.90E-08,0.79049534,4.80E-08,0.79710229,5.48E-08,0.80305395,6.17E-08,0.8135152,7.54E-08,0.81819277,8.23E-08,0.82257899,8.91E-08,0.8208924,8.66E-08,0.82447201,9.24E-08,0.82788547,9.82E-08,0.83428496,1.10E-07,0.84020604,1.21E-07,0.84301421,1.27E-07,-0.000568889,300,0.1751499,300,0.74235509,300.00367,0.80849256,300.01115,0.81712412,300.01179,0.83115131,300.01611,0.83729949,300.01826,0.001168315,300,0.016870844,300,0.77344316,300.00965,0.79253183,300.01568,0.7723126,300.00468,0.81869581,300.02794,0.82878129,300.03416,0.79049534,300.00691,0.79710229,300.00832,0.80305395,300.00973,0.8135152,300.01257,0.81819277,300.01399,0.82257899,300.01542,0.8208924,300.01287,0.82447201,300.01395,0.82788547,300.01503,0.83428496,300.01718,0.84020604,300.01934,0.84301421,300.02043
-0.000568889,1.43E-17,0.27507808,2.08E-09,0.75314958,2.08E-08,0.81629724,7.93E-08,0.82666696,9.59E-08,0.8412937,1.23E-07,0.84773252,1.37E-07,0.002165109,2.08E-11,0.026920957,2.08E-10,0.78428488,4.16E-08,0.80411757,6.24E-08,0.77826237,3.69E-08,0.83163335,1.04E-07,0.84234013,1.25E-07,0.79782626,5.55E-08,0.80458455,6.34E-08,0.81069717,7.14E-08,0.82147964,8.72E-08,0.82631463,9.52E-08,0.83085578,1.03E-07,0.83058691,1.03E-07,0.83431727,1.10E-07,0.83788009,1.16E-07,0.84457349,1.30E-07,0.85078199,1.44E-07,0.85373155,1.51E-07,-0.000568889,300,0.27507808,299.99999,0.75314958,300.00655,0.81629724,300.01499,0.82666696,300.01669,0.8412937,300.0224,0.84773252,300.02527,0.002165109,300,0.026920957,300,0.78428488,300.01529,0.80411757,300.0242,0.77826237,300.00642,0.83163335,300.04239,0.84234013,300.05163,0.79782626,300.00963,0.80458455,300.01141,0.81069717,300.01319,0.82147964,300.01679,0.82631463,300.01859,0.83085578,300.02041,0.83058691,300.01812,0.83431727,300.01954,0.83788009,300.02097,0.84457349,300.02383,0.85078199,300.0267,0.85373155,300.02814
-0.000568889,-4.38E-17,0.42208977,2.60E-09,0.76291365,2.60E-08,0.8246155,9.22E-08,0.83668466,1.14E-07,0.85201419,1.47E-07,0.85879028,1.63E-07,0.003659031,2.60E-11,0.042014268,2.60E-10,0.79499357,5.19E-08,0.81569511,7.79E-08,0.78451903,4.21E-08,0.84474878,1.30E-07,0.85615989,1.56E-07,0.8055544,6.45E-08,0.81251321,7.38E-08,0.81882274,8.30E-08,0.8299865,1.01E-07,0.83500627,1.11E-07,0.83972866,1.20E-07,0.84078415,1.22E-07,0.84469141,1.30E-07,0.8484286,1.38E-07,0.85546368,1.55E-07,0.86200528,1.71E-07,0.86511844,1.79E-07,-0.000568889,300,0.42208977,299.99997,0.76291365,300.01046,0.8246155,300.02005,0.83668466,300.02325,0.85201419,300.03087,0.85879028,300.0347,0.003659031,300,0.042014268,300,0.79499357,300.02322,0.81569511,300.03627,0.78451903,300.00864,0.84474878,300.06297,0.85615989,300.07656,0.8055544,300.01318,0.81251321,300.01546,0.81882274,300.01775,0.8299865,300.02236,0.83500627,300.02468,0.83972866,300.02701,0.84078415,300.02515,0.84469141,300.02706,0.8484286,300.02896,0.85546368,300.03278,0.86200528,300.03662,0.86511844,300.03854
