N1_contact TotalCurrent(n49_TLPn49_des) X,N1_contact TotalCurrent(n49_TLPn49_des) Y,N1_contact TotalCurrent(n50_TLPn50_des) X,N1_contact TotalCurrent(n50_TLPn50_des) Y,N1_contact TotalCurrent(n51_TLPn51_des) X,N1_contact TotalCurrent(n51_TLPn51_des) Y,N1_contact TotalCurrent(n52_TLPn52_des) X,N1_contact TotalCurrent(n52_TLPn52_des) Y,N1_contact TotalCurrent(n53_TLPn53_des) X,N1_contact TotalCurrent(n53_TLPn53_des) Y,N1_contact TotalCurrent(n54_TLPn54_des) X,N1_contact TotalCurrent(n54_TLPn54_des) Y,N1_contact TotalCurrent(n296_TLPn296_des) X,N1_contact TotalCurrent(n296_TLPn296_des) Y,N1_contact TotalCurrent(n309_TLPn309_des) X,N1_contact TotalCurrent(n309_TLPn309_des) Y,N1_contact TotalCurrent(n322_TLPn322_des) X,N1_contact TotalCurrent(n322_TLPn322_des) Y,N1_contact TotalCurrent(n335_TLPn335_des) X,N1_contact TotalCurrent(n335_TLPn335_des) Y,N1_contact TotalCurrent(n348_TLPn348_des) X,N1_contact TotalCurrent(n348_TLPn348_des) Y,N1_contact TotalCurrent(n361_TLPn361_des) X,N1_contact TotalCurrent(n361_TLPn361_des) Y,N1_contact TotalCurrent(n374_TLPn374_des) X,N1_contact TotalCurrent(n374_TLPn374_des) Y,N1_contact TotalCurrent(n387_TLPn387_des) X,N1_contact TotalCurrent(n387_TLPn387_des) Y,N1_contact TotalCurrent(n400_TLPn400_des) X,N1_contact TotalCurrent(n400_TLPn400_des) Y,N1_contact TotalCurrent(n413_TLPn413_des) X,N1_contact TotalCurrent(n413_TLPn413_des) Y,N1_contact TotalCurrent(n426_TLPn426_des) X,N1_contact TotalCurrent(n426_TLPn426_des) Y,N1_contact TotalCurrent(n439_TLPn439_des) X,N1_contact TotalCurrent(n439_TLPn439_des) Y,N1_contact TotalCurrent(n452_TLPn452_des) X,N1_contact TotalCurrent(n452_TLPn452_des) Y,N1_contact TotalCurrent(n465_TLPn465_des) X,N1_contact TotalCurrent(n465_TLPn465_des) Y,N1_contact TotalCurrent(n478_TLPn478_des) X,N1_contact TotalCurrent(n478_TLPn478_des) Y,N1_contact TotalCurrent(n491_TLPn491_des) X,N1_contact TotalCurrent(n491_TLPn491_des) Y,N1_contact TotalCurrent(n606_TLPn606_des) X,N1_contact TotalCurrent(n606_TLPn606_des) Y,N1_contact TotalCurrent(n608_TLPn608_des) X,N1_contact TotalCurrent(n608_TLPn608_des) Y,N1_contact TotalCurrent(n610_TLPn610_des) X,N1_contact TotalCurrent(n610_TLPn610_des) Y,N1_contact TotalCurrent(n612_TLPn612_des) X,N1_contact TotalCurrent(n612_TLPn612_des) Y,N1_contact TotalCurrent(n614_TLPn614_des) X,N1_contact TotalCurrent(n614_TLPn614_des) Y,N1_contact TotalCurrent(n616_TLPn616_des) X,N1_contact TotalCurrent(n616_TLPn616_des) Y,N1_contact TotalCurrent(n618_TLPn618_des) X,N1_contact TotalCurrent(n618_TLPn618_des) Y,N1_contact Temperature(n49_TLPn49_des) X,N1_contact Temperature(n49_TLPn49_des) Y,N1_contact Temperature(n50_TLPn50_des) X,N1_contact Temperature(n50_TLPn50_des) Y,N1_contact Temperature(n51_TLPn51_des) X,N1_contact Temperature(n51_TLPn51_des) Y,N1_contact Temperature(n52_TLPn52_des) X,N1_contact Temperature(n52_TLPn52_des) Y,N1_contact Temperature(n53_TLPn53_des) X,N1_contact Temperature(n53_TLPn53_des) Y,N1_contact Temperature(n54_TLPn54_des) X,N1_contact Temperature(n54_TLPn54_des) Y,N1_contact Temperature(n296_TLPn296_des) X,N1_contact Temperature(n296_TLPn296_des) Y,N1_contact Temperature(n309_TLPn309_des) X,N1_contact Temperature(n309_TLPn309_des) Y,N1_contact Temperature(n322_TLPn322_des) X,N1_contact Temperature(n322_TLPn322_des) Y,N1_contact Temperature(n335_TLPn335_des) X,N1_contact Temperature(n335_TLPn335_des) Y,N1_contact Temperature(n348_TLPn348_des) X,N1_contact Temperature(n348_TLPn348_des) Y,N1_contact Temperature(n361_TLPn361_des) X,N1_contact Temperature(n361_TLPn361_des) Y,N1_contact Temperature(n374_TLPn374_des) X,N1_contact Temperature(n374_TLPn374_des) Y,N1_contact Temperature(n387_TLPn387_des) X,N1_contact Temperature(n387_TLPn387_des) Y,N1_contact Temperature(n400_TLPn400_des) X,N1_contact Temperature(n400_TLPn400_des) Y,N1_contact Temperature(n413_TLPn413_des) X,N1_contact Temperature(n413_TLPn413_des) Y,N1_contact Temperature(n426_TLPn426_des) X,N1_contact Temperature(n426_TLPn426_des) Y,N1_contact Temperature(n439_TLPn439_des) X,N1_contact Temperature(n439_TLPn439_des) Y,N1_contact Temperature(n452_TLPn452_des) X,N1_contact Temperature(n452_TLPn452_des) Y,N1_contact Temperature(n465_TLPn465_des) X,N1_contact Temperature(n465_TLPn465_des) Y,N1_contact Temperature(n478_TLPn478_des) X,N1_contact Temperature(n478_TLPn478_des) Y,N1_contact Temperature(n491_TLPn491_des) X,N1_contact Temperature(n491_TLPn491_des) Y,N1_contact Temperature(n606_TLPn606_des) X,N1_contact Temperature(n606_TLPn606_des) Y,N1_contact Temperature(n608_TLPn608_des) X,N1_contact Temperature(n608_TLPn608_des) Y,N1_contact Temperature(n610_TLPn610_des) X,N1_contact Temperature(n610_TLPn610_des) Y,N1_contact Temperature(n612_TLPn612_des) X,N1_contact Temperature(n612_TLPn612_des) Y,N1_contact Temperature(n614_TLPn614_des) X,N1_contact Temperature(n614_TLPn614_des) Y,N1_contact Temperature(n616_TLPn616_des) X,N1_contact Temperature(n616_TLPn616_des) Y,N1_contact Temperature(n618_TLPn618_des) X,N1_contact Temperature(n618_TLPn618_des) Y
-0.00051664,4.30E-18,-2.10E-05,1.00E-10,0.004439176,1.00E-09,0.049004077,1.00E-08,0.068786608,1.40E-08,0.088552363,1.80E-08,-0.000511684,1.00E-12,-0.000467078,1.00E-11,0.009394212,2.00E-09,0.01434845,3.00E-09,0.019301868,4.00E-09,0.024254449,5.00E-09,0.029206171,6.00E-09,0.034157016,7.00E-09,0.039106962,8.00E-09,0.044055989,9.00E-09,0.053951205,1.10E-08,0.05889735,1.20E-08,0.063842492,1.30E-08,0.073729675,1.50E-08,0.078671673,1.60E-08,0.083612576,1.70E-08,0.093491009,1.90E-08,0.098428489,2.00E-08,0.10336478,2.10E-08,0.10829986,2.20E-08,0.11323369,2.30E-08,0.11816626,2.40E-08,0.12309753,2.50E-08,-0.00051664,300,-2.10E-05,300,0.004439176,300,0.049004077,300,0.068786608,300,0.088552363,300,-0.000511684,300,-0.000467078,300,0.009394212,300,0.01434845,300,0.019301868,300,0.024254449,300,0.029206171,300,0.034157016,300,0.039106962,300,0.044055989,300,0.053951205,300,0.05889735,300,0.063842492,300,0.073729675,300,0.078671673,300,0.083612576,300,0.093491009,300,0.098428489,300,0.10336478,300,0.10829986,300,0.11323369,300,0.11816626,300,0.12309753,300
-0.000516547,-1.86E-17,0.001287335,2.20E-10,0.01751758,2.20E-09,0.17919942,2.20E-08,0.25052575,3.08E-08,0.32127177,3.96E-08,-0.000498508,2.20E-12,-0.000336154,2.20E-11,0.035540684,4.40E-09,0.053551797,6.60E-09,0.071549899,8.80E-09,0.089533917,1.10E-08,0.10750271,1.32E-08,0.12545506,1.54E-08,0.14338963,1.76E-08,0.16130496,1.98E-08,0.19707115,2.42E-08,0.21491795,2.64E-08,0.23273722,2.86E-08,0.26827952,3.30E-08,0.28599335,3.52E-08,0.30366045,3.74E-08,0.33881514,4.18E-08,0.13689753,2.60E-08,0.14374456,2.73E-08,0.15058885,2.86E-08,0.15743031,2.99E-08,0.16426887,3.12E-08,0.17110444,3.25E-08,-0.000516547,300,0.001287335,300,0.01751758,300,0.17919942,300,0.25052575,300,0.32127177,300,-0.000498508,300,-0.000336154,300,0.035540684,300,0.053551797,300,0.071549899,300,0.089533917,300,0.10750271,300,0.12545506,300,0.14338963,300,0.16130496,300,0.19707115,300,0.21491795,300,0.23273722,300,0.26827952,300,0.28599335,300,0.30366045,300,0.33881514,300,0.13689753,300,0.14374456,300,0.15058885,300,0.15743031,300,0.16426887,300,0.17110444,300
-0.000516543,6.15E-17,0.003884592,3.64E-10,0.043465513,3.64E-09,0.43086534,3.64E-08,0.55948296,5.10E-08,0.62141719,6.55E-08,-0.000472528,3.64E-12,-7.64E-05,3.64E-11,0.0873733,7.28E-09,0.13119078,1.09E-08,0.17489864,1.46E-08,0.21847133,1.82E-08,0.26187033,2.18E-08,0.30502832,2.55E-08,0.34781274,2.91E-08,0.38994692,3.28E-08,0.46954257,4.00E-08,0.50454633,4.37E-08,0.53463396,4.73E-08,0.57968495,5.46E-08,0.59618605,5.82E-08,0.6098679,6.19E-08,0.631336,6.92E-08,0.19567373,3.32E-08,0.20542568,3.49E-08,0.2151704,3.65E-08,0.22490754,3.82E-08,0.23463679,3.98E-08,0.24435776,4.15E-08,-0.000516543,300,0.003884592,300,0.043465513,300,0.43086534,300,0.55948296,300,0.62141719,300,-0.000472528,300,-7.64E-05,300,0.0873733,300,0.13119078,300,0.17489864,300,0.21847133,300,0.26187033,300,0.30502832,300,0.34781274,300,0.38994692,300,0.46954257,300,0.50454633,300,0.53463396,300,0.57968495,300,0.59618605,300,0.6098679,300,0.631336,300,0.19567373,300,0.20542568,300,0.2151704,300,0.22490754,300,0.23463679,300,0.24435776,300
-0.000516538,1.14E-17,0.008480259,5.37E-10,0.089318368,5.37E-09,0.63553372,5.37E-08,0.67490133,7.52E-08,0.6944249,9.66E-08,-0.000426557,5.37E-12,0.000383257,5.37E-11,0.17876685,1.07E-08,0.26761042,1.61E-08,0.35523121,2.15E-08,0.43904307,2.68E-08,0.51075867,3.22E-08,0.56169342,3.76E-08,0.59521507,4.29E-08,0.61839743,4.83E-08,0.64880661,5.90E-08,0.65936194,6.44E-08,0.66789012,6.98E-08,0.68080113,8.05E-08,0.68589217,8.59E-08,0.69038557,9.13E-08,0.69810863,1.02E-07,0.28404804,4.18E-08,0.29811168,4.39E-08,0.3121498,4.60E-08,0.32615968,4.81E-08,0.34013798,5.02E-08,0.35408061,5.23E-08,-0.000516538,300,0.008480259,300,0.089318368,300,0.63553372,300,0.67490133,300,0.6944249,300,-0.000426557,300,0.000383257,300,0.17876685,300,0.26761042,300,0.35523121,300,0.43904307,300,0.51075867,300,0.56169342,300,0.59521507,300,0.61839743,300,0.64880661,300,0.65936194,300,0.66789012,300,0.68080113,300,0.68589217,300,0.69038557,300,0.69810863,300,0.28404804,300,0.29811168,300,0.3121498,300,0.32615968,300,0.34013798,300,0.35408061,300
-0.000516532,-1.49E-17,0.01612372,7.44E-10,0.16536135,7.44E-09,0.6822091,7.44E-08,0.70249371,1.04E-07,0.71689021,1.34E-07,-0.000350085,7.44E-12,0.001147893,7.44E-11,0.3290412,1.49E-08,0.47911722,2.23E-08,0.57125542,2.98E-08,0.61543772,3.72E-08,0.64038281,4.46E-08,0.65601077,5.21E-08,0.66688298,5.95E-08,0.67527496,6.70E-08,0.68817675,8.19E-08,0.69344527,8.93E-08,0.69817974,9.67E-08,0.7064693,1.12E-07,0.71016638,1.19E-07,0.71362897,1.27E-07,0.71997578,1.41E-07,0.41417815,5.22E-08,0.43408557,5.48E-08,0.45372841,5.74E-08,0.47301968,6.00E-08,0.49184774,6.26E-08,0.51007735,6.53E-08,-0.000516532,300,0.01612372,300,0.16536135,300,0.6822091,300,0.70249371,300,0.71689021,300,-0.000350085,300,0.001147893,300,0.3290412,300,0.47911722,300,0.57125542,300,0.61543772,300,0.64038281,300,0.65601077,300,0.66688298,300,0.67527496,300,0.68817675,300,0.69344527,300,0.69817974,300,0.7064693,300,0.71016638,300,0.71362897,300,0.71997578,300,0.41417815,300,0.43408557,300,0.45372841,300,0.47301968,300,0.49184774,300,0.51007735,300
-0.000516525,-3.05E-17,0.028358537,9.93E-10,0.28612674,9.93E-09,0.70055693,9.93E-08,0.71936354,1.39E-07,0.7336385,1.79E-07,-0.000227639,9.93E-12,0.002372213,9.93E-11,0.52746988,1.99E-08,0.61327824,2.98E-08,0.64394187,3.97E-08,0.6602197,4.96E-08,0.67161513,5.96E-08,0.68059034,6.95E-08,0.68812604,7.94E-08,0.69469687,8.94E-08,0.70586177,1.09E-07,0.71071675,1.19E-07,0.71519812,1.29E-07,0.72325789,1.49E-07,0.7269168,1.59E-07,0.73036911,1.69E-07,0.73674471,1.89E-07,0.57754655,6.46E-08,0.59509058,6.79E-08,0.61028583,7.11E-08,0.62341496,7.43E-08,0.63477794,7.76E-08,0.64464673,8.08E-08,-0.000516525,300,0.028358537,300,0.28612674,300,0.70055693,300,0.71936354,300,0.7336385,300,-0.000227639,300,0.002372213,300,0.52746988,300,0.61327824,300,0.64394187,300,0.6602197,300,0.67161513,300,0.68059034,300,0.68812604,300,0.69469687,300,0.70586177,300,0.71071675,300,0.71519812,300,0.72325789,300,0.7269168,300,0.73036911,300,0.73674471,300,0.57754655,300,0.59509058,300,0.61028583,300,0.62341496,300,0.63477794,300,0.64464673,300
-0.000516516,-1.69E-17,0.047444039,1.29E-09,0.46077312,1.29E-08,0.71540824,1.29E-07,0.73441994,1.81E-07,0.74896778,2.32E-07,-3.65E-05,1.29E-11,0.004283068,1.29E-10,0.61644864,2.58E-08,0.64816777,3.87E-08,0.66504907,5.17E-08,0.67734543,6.46E-08,0.68728845,7.75E-08,0.6957078,9.04E-08,0.70303905,1.03E-07,0.7095473,1.16E-07,0.72074552,1.42E-07,0.72564994,1.55E-07,0.73019026,1.68E-07,0.73838132,1.94E-07,0.74210857,2.07E-07,0.74562966,2.20E-07,0.75214238,2.45E-07,0.66785056,7.96E-08,0.67447453,8.36E-08,0.68010541,8.75E-08,0.68496454,9.15E-08,0.68922044,9.55E-08,0.69299908,9.95E-08,-0.000516516,300,0.047444039,300,0.46077312,300,0.71540824,300,0.73441994,300,0.74896778,300,-3.65E-05,300,0.004283068,300,0.61644864,300,0.64816777,300,0.66504907,300,0.67734543,300,0.68728845,300,0.6957078,300,0.70303905,300,0.7095473,300,0.72074552,300,0.72564994,300,0.73019026,300,0.73838132,300,0.74210857,300,0.74562966,300,0.75214238,300,0.66785056,300,0.67447453,300,0.68010541,300,0.68496454,300,0.68922044,300,0.69299908,300
-0.000516506,2.86E-17,0.076671316,1.65E-09,0.58037241,1.65E-08,0.72927706,1.65E-07,0.74864673,2.31E-07,0.76352785,2.97E-07,0.000256426,1.65E-11,0.007211964,1.65E-10,0.64105862,3.30E-08,0.66342076,4.95E-08,0.67885841,6.60E-08,0.69089996,8.25E-08,0.70083242,9.90E-08,0.7093119,1.15E-07,0.71672607,1.32E-07,0.72332435,1.48E-07,0.73470581,1.81E-07,0.73970057,1.98E-07,0.74432978,2.14E-07,0.75269377,2.47E-07,0.75650508,2.64E-07,0.76010868,2.80E-07,0.7667821,3.13E-07,0.69633129,9.75E-08,0.69964434,1.02E-07,0.7026835,1.07E-07,0.70550251,1.12E-07,0.70814101,1.17E-07,0.71062848,1.22E-07,-0.000516506,300,0.076671316,300,0.58037241,300,0.72927706,300,0.74864673,300,0.76352785,300,0.000256426,300,0.007211964,300,0.64105862,300,0.66342076,300,0.67885841,300,0.69089996,300,0.70083242,300,0.7093119,300,0.71672607,300,0.72332435,300,0.73470581,300,0.73970057,300,0.74432978,300,0.75269377,300,0.75650508,300,0.76010868,300,0.7667821,300,0.69633129,300,0.69964434,300,0.7026835,300,0.70550251,300,0.70814101,300,0.71062848,300
-0.000516494,6.95E-18,0.12080613,2.08E-09,0.61551894,2.08E-08,0.74258874,2.08E-07,0.76237182,2.91E-07,0.77762792,3.74E-07,0.000699568,2.08E-11,0.011641992,2.08E-10,0.65452108,4.16E-08,0.67602775,6.24E-08,0.69147825,8.32E-08,0.70362693,1.04E-07,0.71367989,1.25E-07,0.72228014,1.46E-07,0.72981228,1.66E-07,0.73652504,1.87E-07,0.74812519,2.29E-07,0.75322459,2.50E-07,0.75795563,2.70E-07,0.76651572,3.12E-07,0.77042171,3.33E-07,0.77411797,3.54E-07,0.78097121,3.95E-07,0.71002124,1.19E-07,0.71282093,1.25E-07,0.71548267,1.31E-07,0.71802265,1.37E-07,0.72045388,1.43E-07,0.722787,1.49E-07,-0.000516494,300,0.12080613,300,0.61551894,300,0.74258874,300,0.76237182,300,0.77762792,300,0.000699568,300,0.011641992,300,0.65452108,300,0.67602775,300,0.69147825,300,0.70362693,300,0.71367989,300,0.72228014,300,0.72981228,300,0.73652504,300,0.74812519,300,0.75322459,300,0.75795563,300,0.76651572,300,0.77042171,300,0.77411797,300,0.78097121,300,0.71002124,300,0.71282093,300,0.71548267,300,0.71802265,300,0.72045388,300,0.722787,300
-0.000516479,-1.46E-17,0.18667355,2.60E-09,0.63001216,2.60E-08,0.75555876,2.60E-07,0.77580468,3.63E-07,0.79147784,4.67E-07,0.001363232,2.60E-11,0.018275474,2.60E-10,0.66639966,5.19E-08,0.68799982,7.79E-08,0.70360822,1.04E-07,0.71591332,1.30E-07,0.72611571,1.56E-07,0.73485833,1.82E-07,0.74252646,2.08E-07,0.74936961,2.34E-07,0.76121632,2.86E-07,0.76643296,3.12E-07,0.77127779,3.37E-07,0.78005646,3.89E-07,0.78406778,4.15E-07,0.78786704,4.41E-07,0.79492,4.93E-07,0.72147375,1.45E-07,0.72424229,1.52E-07,0.7268897,1.59E-07,0.72942702,1.67E-07,0.73186378,1.74E-07,0.73420827,1.81E-07,-0.000516479,300,0.18667355,300,0.63001216,300,0.75555876,300,0.77580468,300,0.79147784,300,0.001363232,300,0.018275474,300,0.66639966,300,0.68799982,300,0.70360822,300,0.71591332,300,0.72611571,300,0.73485833,300,0.74252646,300,0.74936961,300,0.76121632,300,0.76643296,300,0.77127779,300,0.78005646,300,0.78406778,300,0.78786704,300,0.79492,300,0.72147375,300,0.72424229,300,0.7268897,300,0.72942702,300,0.73186378,300,0.73420827,300
