N1_contact TotalCurrent(n252_TLPn252_des) X,N1_contact TotalCurrent(n252_TLPn252_des) Y,N1_contact TotalCurrent(n253_TLPn253_des) X,N1_contact TotalCurrent(n253_TLPn253_des) Y,N1_contact TotalCurrent(n254_TLPn254_des) X,N1_contact TotalCurrent(n254_TLPn254_des) Y,N1_contact TotalCurrent(n255_TLPn255_des) X,N1_contact TotalCurrent(n255_TLPn255_des) Y,N1_contact TotalCurrent(n256_TLPn256_des) X,N1_contact TotalCurrent(n256_TLPn256_des) Y,N1_contact TotalCurrent(n257_TLPn257_des) X,N1_contact TotalCurrent(n257_TLPn257_des) Y,N1_contact TotalCurrent(n258_TLPn258_des) X,N1_contact TotalCurrent(n258_TLPn258_des) Y,N1_contact Temperature(n252_TLPn252_des) X,N1_contact Temperature(n252_TLPn252_des) Y,N1_contact Temperature(n253_TLPn253_des) X,N1_contact Temperature(n253_TLPn253_des) Y,N1_contact Temperature(n254_TLPn254_des) X,N1_contact Temperature(n254_TLPn254_des) Y,N1_contact Temperature(n255_TLPn255_des) X,N1_contact Temperature(n255_TLPn255_des) Y,N1_contact Temperature(n256_TLPn256_des) X,N1_contact Temperature(n256_TLPn256_des) Y,N1_contact Temperature(n257_TLPn257_des) X,N1_contact Temperature(n257_TLPn257_des) Y,N1_contact Temperature(n258_TLPn258_des) X,N1_contact Temperature(n258_TLPn258_des) Y
-0.000568934,1.50E-17,0.000544662,1.00E-10,0.010596892,1.00E-09,0.11212136,1.00E-08,0.15719805,1.40E-08,0.20210781,1.80E-08,0.22448937,2.00E-08,-0.000568934,300,0.000544662,300,0.010596892,300,0.11212136,300,0.15719805,300,0.20210781,300,0.22448937,300
-0.00056889,-2.39E-17,0.003487891,2.20E-10,0.040284074,2.20E-09,0.40553381,2.20E-08,0.55915206,3.08E-08,0.67379818,3.96E-08,0.7043681,4.40E-08,-0.00056889,300,0.003487891,300,0.040284074,300,0.40553381,300,0.55915206,300,0.67379818,300,0.7043681,300
-0.00056889,7.73E-17,0.009344638,3.64E-10,0.099489245,3.64E-09,0.73664231,3.64E-08,0.67728285,3.58E-08,0.75558001,4.61E-08,0.77119155,5.12E-08,-0.00056889,300,0.009344638,300,0.099489245,300,0.73664231,300,0.67728285,300,0.75558001,300,0.77119155,300
-0.00056889,5.28E-18,0.019744215,5.37E-10,0.20385829,5.37E-09,0.77208341,4.07E-08,0.75645291,4.19E-08,0.78870358,5.39E-08,0.79653528,5.98E-08,-0.00056889,300,0.019744215,300,0.20385829,300,0.77208341,300,0.75645291,300,0.78870358,300,0.79653528,300
-0.000568889,3.04E-17,0.037112056,7.44E-10,0.37485654,7.44E-09,0.78604835,4.59E-08,0.78597282,4.91E-08,0.8025724,6.32E-08,0.80850491,7.02E-08,-0.000568889,300,0.037112056,300,0.37485654,300,0.78604835,300,0.78597282,300,0.8025724,300,0.80850491,300
-0.000568889,-2.98E-17,0.065007655,9.93E-10,0.62000847,9.93E-09,0.79405159,5.21E-08,0.7985885,5.79E-08,0.81222517,7.44E-08,0.81796664,8.26E-08,-0.000568889,300,0.065007655,300,0.62000847,300,0.79405159,300,0.7985885,300,0.81222517,300,0.81796664,300
-0.000568889,5.73E-18,0.10857278,1.29E-09,0.721254,1.29E-08,0.80114861,5.96E-08,0.80794189,6.83E-08,0.8215108,8.78E-08,0.82741464,9.76E-08,-0.000568889,300,0.10857278,300,0.721254,300,0.80114861,300,0.80794189,300,0.8215108,300,0.82741464,300
-0.000568889,1.73E-17,0.1751499,1.65E-09,0.74235509,1.65E-08,0.80849256,6.85E-08,0.81712412,8.08E-08,0.83115131,1.04E-07,0.83729949,1.15E-07,-0.000568889,300,0.1751499,300,0.74235509,300,0.80849256,300,0.81712412,300,0.83115131,300,0.83729949,300
-0.000568889,1.43E-17,0.27507808,2.08E-09,0.75314958,2.08E-08,0.81629724,7.93E-08,0.82666696,9.59E-08,0.8412937,1.23E-07,0.84773252,1.37E-07,-0.000568889,300,0.27507808,300,0.75314958,300,0.81629724,300,0.82666696,300,0.8412937,300,0.84773252,300
-0.000568889,-4.38E-17,0.42208977,2.60E-09,0.76291365,2.60E-08,0.8246155,9.22E-08,0.83668466,1.14E-07,0.85201419,1.47E-07,0.85879028,1.63E-07,-0.000568889,300,0.42208977,300,0.76291365,300,0.8246155,300,0.83668466,300,0.85201419,300,0.85879028,300
-0.000568889,3.15E-18,0.60580692,3.22E-09,0.77251493,3.22E-08,0.83348456,1.08E-07,0.84724721,1.36E-07,0.86338953,1.74E-07,0.87055461,1.94E-07,-0.000568889,300,0.60580692,300,0.77251493,300,0.83348456,300,0.84724721,300,0.86338953,300,0.87055461,300
-0.000568889,-3.48E-18,0.67772256,3.96E-09,0.78210449,3.96E-08,0.84294695,1.26E-07,0.85842785,1.62E-07,0.87550591,2.08E-07,0.88311813,2.31E-07,-0.000568889,300,0.67772256,300,0.78210449,300,0.84294695,300,0.85842785,300,0.87550591,300,0.88311813,300
-0.000568889,-4.72E-18,0.69435872,4.85E-09,0.79177458,4.85E-08,0.85305377,1.49E-07,0.87030899,1.93E-07,0.88846142,2.48E-07,0.89658639,2.75E-07,-0.000568889,300,0.69435872,300,0.79177458,300,0.85305377,300,0.87030899,300,0.88846142,300,0.89658639,300
-0.000568889,1.97E-17,0.70290834,5.92E-09,0.80160442,5.92E-08,0.86386639,1.75E-07,0.88298445,2.30E-07,0.90236793,2.96E-07,0.91107973,3.29E-07,-0.000568889,300,0.70290834,300,0.80160442,300,0.86386639,300,0.88298445,300,0.90236793,300,0.91107973,300
-0.000568889,9.89E-18,0.71062961,7.20E-09,0.81166774,7.20E-08,0.87545788,2.07E-07,0.89656126,2.75E-07,0.91735291,3.54E-07,0.92673502,3.93E-07,-0.000568889,300,0.71062961,300,0.81166774,300,0.87545788,300,0.89656126,300,0.91735291,300,0.92673502,300
-0.000568889,-3.82E-18,0.71825851,8.74E-09,0.82203699,8.74E-08,0.88791466,2.46E-07,0.91116155,3.29E-07,0.93356121,4.23E-07,0.94370746,4.70E-07,-0.000568889,300,0.71825851,300,0.82203699,300,0.88791466,300,0.91116155,300,0.93356121,300,0.94370746,300
-0.000568889,-1.39E-17,0.72358806,1.00E-08,0.82950356,1.00E-07,0.90133807,2.92E-07,0.92692434,3.94E-07,0.95115686,5.06E-07,0.96217233,5.63E-07,-0.000568889,300,0.72358806,300,0.82950356,300,0.90133807,300,0.92692434,300,0.95115686,300,0.96217233,300
-0.000568889,-1.57E-18,0.72376493,1.00E-08,0.82951631,1.00E-07,0.91584619,3.48E-07,0.94400749,4.72E-07,0.97032509,6.06E-07,0.98232704,6.74E-07,-0.000568889,300,0.72376493,300,0.82951631,300,0.91584619,300,0.94400749,300,0.97032509,300,0.98232704,300
-0.000568889,-9.89E-18,0.72376386,1.00E-08,0.82948789,1.00E-07,0.93157565,4.14E-07,0.96258987,5.65E-07,0.99127468,7.26E-07,1.0043938,8.07E-07,-0.000568889,300,0.72376386,300,0.82948789,300,0.93157565,300,0.96258987,300,0.99127468,300,1.0043938,300
-0.000568889,-3.15E-18,0.72375844,1.00E-08,0.82945354,1.00E-07,0.94868385,4.94E-07,0.98287399,6.77E-07,1.0142415,8.70E-07,1.0286236,9.66E-07,-0.000568889,300,0.72375844,300,0.82945354,300,0.94868385,300,0.98287399,300,1.0142415,300,1.0286236,300
-0.000568889,-8.54E-18,0.72375186,1.00E-08,0.82941231,1.00E-07,0.96735157,5.90E-07,1.0050898,8.11E-07,1.0394943,1.04E-06,1.0553036,1.16E-06,-0.000568889,300,0.72375186,300,0.82941231,300,0.96735157,300,1.0050898,300,1.0394943,300,1.0553036,300
-0.000568889,-7.87E-18,0.72374396,1.00E-08,0.82936283,1.00E-07,0.98778669,7.05E-07,1.0295009,9.72E-07,1.0673442,1.25E-06,1.0847686,1.39E-06,-0.000568889,300,0.72374396,300,0.82936283,300,0.98778669,300,1.0295009,300,1.0673442,300,1.0847686,300
